name,jobs,machines,optimum,bounds,path,solver,time_total,time_parse,time_solve,mus_size,refinement,rotation,symmetry,sat_calls,unsat_calls,solver_calls,total_solve_only,solution,status
abz5,10,10,1234,"{'upper': 1234, 'lower': 1234}",jsplib/abz5,exact,0.5502874851226807,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
abz6,10,10,943,"{'upper': 943, 'lower': 943}",jsplib/abz6,exact,0.5647091865539551,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
abz7,20,15,656,"{'upper': 656, 'lower': 656}",jsplib/abz7,exact,0.7128560543060303,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
abz8,20,15,,"{'upper': 665, 'lower': 645}",jsplib/abz8,exact,0.7427353858947754,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
abz9,20,15,,"{'upper': 679, 'lower': 661}",jsplib/abz9,exact,0.7322735786437988,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
ft06,6,6,55,"{'upper': 55, 'lower': 55}",jsplib/ft06,exact,0.5135171413421631,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
ft10,10,10,930,"{'upper': 930, 'lower': 930}",jsplib/ft10,exact,0.5305967330932617,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
ft20,20,5,1165,"{'upper': 1165, 'lower': 1165}",jsplib/ft20,exact,0.563734769821167,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
exact,0.4843466281890869,,,,,,,,,,,"invalid literal for int() with base 10: 'name,jobs,machines,optimum,bounds,path,solver,time_total,time_parse,time_solve,mus_size,refinement,rotation,symmetry,sat_calls,unsat_calls,solver_calls,total_solve_only,solution,status'",unknown
la01,10,5,666,"{'upper': 666, 'lower': 666}",jsplib/la01,exact,0.6013674736022949,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la02,10,5,655,"{'upper': 655, 'lower': 655}",jsplib/la02,exact,0.494718074798584,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la03,10,5,597,"{'upper': 597, 'lower': 597}",jsplib/la03,exact,0.4938621520996094,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la04,10,5,590,"{'upper': 590, 'lower': 590}",jsplib/la04,exact,0.5200557708740234,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la05,10,5,593,"{'upper': 593, 'lower': 593}",jsplib/la05,exact,0.5682954788208008,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la06,15,5,926,"{'upper': 926, 'lower': 926}",jsplib/la06,exact,0.5178351402282715,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la07,15,5,890,"{'upper': 890, 'lower': 890}",jsplib/la07,exact,0.5702614784240723,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la08,15,5,863,"{'upper': 863, 'lower': 863}",jsplib/la08,exact,1.5054552555084229,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la09,15,5,951,"{'upper': 951, 'lower': 951}",jsplib/la09,exact,0.5453770160675049,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la10,15,5,958,"{'upper': 958, 'lower': 958}",jsplib/la10,exact,0.5567452907562256,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la11,20,5,1222,"{'upper': 1222, 'lower': 1222}",jsplib/la11,exact,0.6062972545623779,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la12,20,5,1039,"{'upper': 1039, 'lower': 1039}",jsplib/la12,exact,0.5572676658630371,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la13,20,5,1150,"{'upper': 1150, 'lower': 1150}",jsplib/la13,exact,0.6427853107452393,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la14,20,5,1292,"{'upper': 1292, 'lower': 1292}",jsplib/la14,exact,0.5429036617279053,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la15,20,5,1207,"{'upper': 1207, 'lower': 1207}",jsplib/la15,exact,0.5620167255401611,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la16,10,10,945,"{'upper': 945, 'lower': 945}",jsplib/la16,exact,0.5194647312164307,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la17,10,10,784,"{'upper': 784, 'lower': 784}",jsplib/la17,exact,0.5511999130249023,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la18,10,10,848,"{'upper': 848, 'lower': 848}",jsplib/la18,exact,0.5115718841552734,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la19,10,10,842,"{'upper': 842, 'lower': 842}",jsplib/la19,exact,0.5057258605957031,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la20,10,10,902,"{'upper': 902, 'lower': 902}",jsplib/la20,exact,0.5212416648864746,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la21,15,10,1046,"{'upper': 1046, 'lower': 1046}",jsplib/la21,exact,0.5920486450195312,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la22,15,10,927,"{'upper': 927, 'lower': 927}",jsplib/la22,exact,0.6322853565216064,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la23,15,10,1032,"{'upper': 1032, 'lower': 1032}",jsplib/la23,exact,0.633228063583374,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la24,15,10,935,"{'upper': 935, 'lower': 935}",jsplib/la24,exact,0.6107048988342285,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la25,15,10,977,"{'upper': 977, 'lower': 977}",jsplib/la25,exact,0.5665371417999268,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la26,20,10,1218,"{'upper': 1218, 'lower': 1218}",jsplib/la26,exact,0.7264840602874756,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la27,20,10,1235,"{'upper': 1235, 'lower': 1235}",jsplib/la27,exact,0.690335750579834,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la28,20,10,1216,"{'upper': 1216, 'lower': 1216}",jsplib/la28,exact,1.65077805519104,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la29,20,10,1152,"{'upper': 1152, 'lower': 1152}",jsplib/la29,exact,0.6558632850646973,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la30,20,10,1355,"{'upper': 1355, 'lower': 1355}",jsplib/la30,exact,0.6353228092193604,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la31,30,10,1784,"{'upper': 1784, 'lower': 1784}",jsplib/la31,exact,0.8933393955230713,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la32,30,10,1850,"{'upper': 1850, 'lower': 1850}",jsplib/la32,exact,0.8719329833984375,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la33,30,10,1719,"{'upper': 1719, 'lower': 1719}",jsplib/la33,exact,0.9248142242431641,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la34,30,10,1721,"{'upper': 1721, 'lower': 1721}",jsplib/la34,exact,0.908933162689209,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la35,30,10,1888,"{'upper': 1888, 'lower': 1888}",jsplib/la35,exact,0.8864841461181641,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la36,15,15,1268,"{'upper': 1268, 'lower': 1268}",jsplib/la36,exact,0.6386857032775879,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la37,15,15,1397,"{'upper': 1397, 'lower': 1397}",jsplib/la37,exact,0.6448347568511963,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la38,15,15,1196,"{'upper': 1196, 'lower': 1196}",jsplib/la38,exact,0.7943334579467773,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la39,15,15,1233,"{'upper': 1233, 'lower': 1233}",jsplib/la39,exact,0.7075879573822021,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
la40,15,15,1222,"{'upper': 1222, 'lower': 1222}",jsplib/la40,exact,0.7153058052062988,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb01,10,10,1059,"{'upper': 1059, 'lower': 1059}",jsplib/orb01,exact,0.5735318660736084,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb02,10,10,888,"{'upper': 888, 'lower': 888}",jsplib/orb02,exact,0.5937960147857666,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb03,10,10,1005,"{'upper': 1005, 'lower': 1005}",jsplib/orb03,exact,0.5402343273162842,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb04,10,10,1005,"{'upper': 1005, 'lower': 1005}",jsplib/orb04,exact,0.5556838512420654,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb05,10,10,887,"{'upper': 887, 'lower': 887}",jsplib/orb05,exact,0.5844330787658691,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb06,10,10,1010,"{'upper': 1010, 'lower': 1010}",jsplib/orb06,exact,0.6684887409210205,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb07,10,10,397,"{'upper': 397, 'lower': 397}",jsplib/orb07,exact,1.4918086528778076,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb08,10,10,899,"{'upper': 899, 'lower': 899}",jsplib/orb08,exact,0.6041855812072754,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb09,10,10,934,"{'upper': 934, 'lower': 934}",jsplib/orb09,exact,0.6305720806121826,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
orb10,10,10,944,"{'upper': 944, 'lower': 944}",jsplib/orb10,exact,0.5170202255249023,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv01,20,10,1407,"{'upper': 1407, 'lower': 1407}",jsplib/swv01,exact,0.6464016437530518,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv02,20,10,1475,"{'upper': 1475, 'lower': 1475}",jsplib/swv02,exact,0.645378828048706,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv03,20,10,,"{'upper': 1398, 'lower': 1369}",jsplib/swv03,exact,0.73551344871521,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv04,20,10,,"{'upper': 1474, 'lower': 1450}",jsplib/swv04,exact,0.6839756965637207,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv05,20,10,1424,"{'upper': 1424, 'lower': 1424}",jsplib/swv05,exact,0.6754801273345947,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv06,20,15,,"{'upper': 1678, 'lower': 1591}",jsplib/swv06,exact,0.7938592433929443,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv07,20,15,,"{'upper': 1600, 'lower': 1446}",jsplib/swv07,exact,0.7882199287414551,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv08,20,15,,"{'upper': 1763, 'lower': 1640}",jsplib/swv08,exact,0.7905702590942383,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
swv09,20,15,,"{'upper': 1661, 'lower': 1604}",jsplib/swv09,exact,0.7806501388549805,,,,,,,,,,,(BV0) or (BV1) is not linear or is not supported. Please report on github,unknown
